date	version	dataset	params
2020-08-13	0.8.6	teszt_id0	keep_flags|cflags
2020-08-13	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-13	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-13	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-13	0.8.6	teszt_id1	filters|cflags
2020-08-13	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-13	0.8.6	teszt_id0	keep_flags|cflags
2020-08-13	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-13	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-13	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-13	0.8.6	teszt_id1	filters|cflags
2020-08-13	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-13	0.8.6	teszt_id0	keep_flags|cflags
2020-08-13	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-13	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-13	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-13	0.8.6	teszt_id1	filters|cflags
2020-08-13	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-13	0.8.6	teszt_id0	keep_flags|cflags
2020-08-13	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-13	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-13	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-13	0.8.6	teszt_id1	filters|cflags
2020-08-13	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-13	0.8.6	teszt_id0	stringsAsFactors
2020-08-13	0.8.6	teszt_id0	verbose
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id1	filters
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id0	stringsAsFactors
2020-08-13	0.8.6	teszt_id0	verbose
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id1	filters
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id0	stringsAsFactors
2020-08-13	0.8.6	teszt_id0	verbose
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id1	filters
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id0	stringsAsFactors
2020-08-13	0.8.6	teszt_id0	verbose
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id1	filters
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id0	stringsAsFactors
2020-08-13	0.8.6	teszt_id0	verbose
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-13	0.8.6	teszt_id1	filters
2020-08-13	0.8.6	teszt_id1	date_filter
2020-08-14	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-14	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-14	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-14	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-14	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-14	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-14	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-14	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-14	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-14	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-14	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-14	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-14	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|date_filter|label
2020-08-14	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-14	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|date_filter|label
2020-08-14	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-14	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|date_filter|label
2020-08-14	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-14	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|date_filter|label
2020-08-14	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-14	0.8.6	teszt_id0	keep_flags|cflags
2020-08-14	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-14	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-14	0.8.6	teszt_id1	filters|cflags
2020-08-14	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-14	0.8.6	teszt_id0	keep_flags|cflags
2020-08-14	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-14	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-14	0.8.6	teszt_id1	filters|cflags
2020-08-14	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-14	0.8.6	teszt_id0	keep_flags|cflags
2020-08-14	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-14	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-14	0.8.6	teszt_id1	filters|cflags
2020-08-14	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-14	0.8.6	teszt_id0	keep_flags|cflags
2020-08-14	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-14	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-14	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-14	0.8.6	teszt_id1	filters|cflags
2020-08-14	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-14	0.8.6	teszt_id0	stringsAsFactors
2020-08-14	0.8.6	teszt_id0	verbose
2020-08-14	0.8.6	teszt_id1	date_filter
2020-08-14	0.8.6	teszt_id1	filters
2020-08-14	0.8.6	teszt_id1	date_filter
2020-08-14	0.8.6	teszt_id0	stringsAsFactors
2020-08-14	0.8.6	teszt_id0	verbose
2020-08-14	0.8.6	teszt_id1	date_filter
2020-08-14	0.8.6	teszt_id1	filters
2020-08-14	0.8.6	teszt_id1	date_filter
2020-08-14	0.8.6	teszt_id0	stringsAsFactors
2020-08-14	0.8.6	teszt_id0	verbose
2020-08-14	0.8.6	teszt_id1	date_filter
2020-08-14	0.8.6	teszt_id1	filters
2020-08-14	0.8.6	teszt_id1	date_filter
2020-08-14	0.8.6	teszt_id0	stringsAsFactors
2020-08-14	0.8.6	teszt_id0	verbose
2020-08-14	0.8.6	teszt_id1	date_filter
2020-08-14	0.8.6	teszt_id1	filters
2020-08-14	0.8.6	teszt_id1	date_filter
2020-08-15	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-15	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-15	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-15	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-15	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-15	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-15	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-15	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-15	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-15	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-15	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-15	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-15	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|date_filter|label
2020-08-15	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-15	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|date_filter|label
2020-08-15	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-15	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|date_filter|label
2020-08-15	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-15	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|date_filter|label
2020-08-15	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-15	0.8.6	teszt_id0	keep_flags|cflags
2020-08-15	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-15	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-15	0.8.6	teszt_id1	filters|cflags
2020-08-15	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-15	0.8.6	teszt_id0	keep_flags|cflags
2020-08-15	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-15	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-15	0.8.6	teszt_id1	filters|cflags
2020-08-15	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-15	0.8.6	teszt_id0	keep_flags|cflags
2020-08-15	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-15	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-15	0.8.6	teszt_id1	filters|cflags
2020-08-15	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-15	0.8.6	teszt_id0	keep_flags|cflags
2020-08-15	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-15	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-15	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-15	0.8.6	teszt_id1	filters|cflags
2020-08-15	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-15	0.8.6	teszt_id0	stringsAsFactors
2020-08-15	0.8.6	teszt_id0	verbose
2020-08-15	0.8.6	teszt_id1	date_filter
2020-08-15	0.8.6	teszt_id1	filters
2020-08-15	0.8.6	teszt_id1	date_filter
2020-08-15	0.8.6	teszt_id0	stringsAsFactors
2020-08-15	0.8.6	teszt_id0	verbose
2020-08-15	0.8.6	teszt_id1	date_filter
2020-08-15	0.8.6	teszt_id1	filters
2020-08-15	0.8.6	teszt_id1	date_filter
2020-08-15	0.8.6	teszt_id0	stringsAsFactors
2020-08-15	0.8.6	teszt_id0	verbose
2020-08-15	0.8.6	teszt_id1	date_filter
2020-08-15	0.8.6	teszt_id1	filters
2020-08-15	0.8.6	teszt_id1	date_filter
2020-08-15	0.8.6	teszt_id0	stringsAsFactors
2020-08-15	0.8.6	teszt_id0	verbose
2020-08-15	0.8.6	teszt_id1	date_filter
2020-08-15	0.8.6	teszt_id1	filters
2020-08-15	0.8.6	teszt_id1	date_filter
2020-08-16	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-16	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-16	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-16	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-16	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-16	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-16	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-16	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-16	0.8.6	teszt_id1	filters|date_filter|label
2020-08-16	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-16	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-16	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-16	0.8.6	teszt_id1	filters|date_filter|label
2020-08-16	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-16	0.8.6	teszt_id0	keep_flags|cflags
2020-08-16	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-16	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-16	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-16	0.8.6	teszt_id1	filters|cflags
2020-08-16	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-16	0.8.6	teszt_id0	keep_flags|cflags
2020-08-16	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-16	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-16	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-16	0.8.6	teszt_id1	filters|cflags
2020-08-16	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-16	0.8.6	teszt_id0	stringsAsFactors
2020-08-16	0.8.6	teszt_id0	verbose
2020-08-16	0.8.6	teszt_id1	date_filter
2020-08-16	0.8.6	teszt_id1	filters
2020-08-16	0.8.6	teszt_id1	date_filter
2020-08-16	0.8.6	teszt_id0	stringsAsFactors
2020-08-16	0.8.6	teszt_id0	verbose
2020-08-16	0.8.6	teszt_id1	date_filter
2020-08-16	0.8.6	teszt_id1	filters
2020-08-16	0.8.6	teszt_id1	date_filter
2020-08-17	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-17	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-17	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-17	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-17	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-17	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-17	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-17	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-17	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-17	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-17	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-17	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-17	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|date_filter|label
2020-08-17	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-17	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|date_filter|label
2020-08-17	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-17	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|date_filter|label
2020-08-17	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-17	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|date_filter|label
2020-08-17	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-17	0.8.6	teszt_id0	keep_flags|cflags
2020-08-17	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-17	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-17	0.8.6	teszt_id1	filters|cflags
2020-08-17	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-17	0.8.6	teszt_id0	keep_flags|cflags
2020-08-17	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-17	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-17	0.8.6	teszt_id1	filters|cflags
2020-08-17	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-17	0.8.6	teszt_id0	keep_flags|cflags
2020-08-17	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-17	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-17	0.8.6	teszt_id1	filters|cflags
2020-08-17	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-17	0.8.6	teszt_id0	keep_flags|cflags
2020-08-17	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-17	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-17	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-17	0.8.6	teszt_id1	filters|cflags
2020-08-17	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-17	0.8.6	teszt_id0	stringsAsFactors
2020-08-17	0.8.6	teszt_id0	verbose
2020-08-17	0.8.6	teszt_id1	date_filter
2020-08-17	0.8.6	teszt_id1	filters
2020-08-17	0.8.6	teszt_id1	date_filter
2020-08-17	0.8.6	teszt_id0	stringsAsFactors
2020-08-17	0.8.6	teszt_id0	verbose
2020-08-17	0.8.6	teszt_id1	date_filter
2020-08-17	0.8.6	teszt_id1	filters
2020-08-17	0.8.6	teszt_id1	date_filter
2020-08-17	0.8.6	teszt_id0	stringsAsFactors
2020-08-17	0.8.6	teszt_id0	verbose
2020-08-17	0.8.6	teszt_id1	date_filter
2020-08-17	0.8.6	teszt_id1	filters
2020-08-17	0.8.6	teszt_id1	date_filter
2020-08-17	0.8.6	teszt_id0	stringsAsFactors
2020-08-17	0.8.6	teszt_id0	verbose
2020-08-17	0.8.6	teszt_id1	date_filter
2020-08-17	0.8.6	teszt_id1	filters
2020-08-17	0.8.6	teszt_id1	date_filter
2020-08-18	0.8.6	avia_par_me	filters|exact_match|date_filter|label|select_freq|name
2020-08-18	0.8.6	bop_its6_det	filters|date_filter|label|select_freq|name
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|select_freq|cflags
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	teszt_id2	filters|date_filter|label|select_freq
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags|ignore.case
2020-08-18	0.8.6	avia_par_me	filters|date_filter|select_freq
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	agr_r_milkpr	filters|date_filter|keep_flags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|exact_match|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|date_filter|label
2020-08-18	0.8.6	teszt_id1	filters|date_filter|cflags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	htec_cis3	update_cache|check_toc
2020-08-18	0.8.6	agr_r_milkpr	cache_dir|cflags
2020-08-18	0.8.6	avia_gonc	select_freq|cache
2020-08-18	0.8.6	agr_r_milkpr	date_filter|keep_flags
2020-08-18	0.8.6	nama_10_a10_e	filters|date_filter
2020-08-18	0.8.6	vit_t3	filters|date_filter
2020-08-18	0.8.6	htec_cis3	filters|ignore.case
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	keep_flags|cflags
2020-08-18	0.8.6	teszt_id1	stringsAsFactors|keep_flags
2020-08-18	0.8.6	teszt_id1	filters|stringsAsFactors
2020-08-18	0.8.6	teszt_id1	date_filter|cache_dir
2020-08-18	0.8.6	teszt_id1	filters|cflags
2020-08-18	0.8.6	teszt_id1	date_filter|keep_flags
2020-08-18	0.8.6	teszt_id0	stringsAsFactors
2020-08-18	0.8.6	teszt_id0	verbose
