0.10.7	id=sdg_01_40	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_41	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_03_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_06_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_07_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_11_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10a	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20a	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_30	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_40	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_41	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_03_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_06_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_07_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_11_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_10a	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_20	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_20a	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_30	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_40	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_41	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_60	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_03_60	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_06_10	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_07_60	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_11_10	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_10	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_10a	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_20	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_20a	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_30	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_40	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_41	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_60	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_03_60	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_06_10	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_07_60	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_11_10	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_10	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_10a	filters=c("T", "TOTAL", "PC")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_10	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_10a	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_20	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_20a	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_30	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_40	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_41	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_60	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_03_60	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_06_10	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_07_60	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_11_10	filters=list(unit = "PC", geo = c("EU", "EU27_2020", "EU28", "EU27_2007", "EA19", "EA18", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
0.10.7	id=sdg_01_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10a	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_20a	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_30	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_40	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_41	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_03_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_06_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_07_60	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_11_10	filters=list(unit = "PC", geo = "ES", age = "TOTAL", sex = "T")	date_filter=>2014-01-01
0.10.7	id=sdg_01_10	filters=list(unit = "PC", geo = c("EU", "EU28", "BE", "BG", "CZ", "DK", "DE", "EE", "IE", "EL", "ES", "FR", "HR", "IT", "CY", "LV", "LT", "LU", "HU", "MT", "NL", "AT", "PL", "PT", "RO", "SI", "SK", "FI", "SE", "UK", "TR", "XK"), age = "TOTAL", sex = "T")	date_filter=c("2014", "2019")
